id,evidence_quality,evidence_quality_raw,evidence_quality_source,evidence_quality_reason
12049,Clear,0,soft_vote,Clear=0.80334271;Not Clear=0.19391628;Misleading=0.00274099;n_members=5
12050,Clear,0,soft_vote,Clear=0.78248472;Not Clear=0.21435543;Misleading=0.00315986;n_members=5
12051,Clear,0,soft_vote,Clear=0.99007130;Not Clear=0.00901089;Misleading=0.00091780;n_members=5
12052,Clear,0,soft_vote,Clear=0.98581298;Not Clear=0.01223065;Misleading=0.00195639;n_members=5
12053,Clear,0,soft_vote,Clear=0.96307511;Not Clear=0.03485670;Misleading=0.00206823;n_members=5
12054,Clear,0,soft_vote,Clear=0.94174051;Not Clear=0.05568759;Misleading=0.00257189;n_members=5
12055,Clear,0,soft_vote,Clear=0.98492233;Not Clear=0.01391646;Misleading=0.00116120;n_members=5
12056,Clear,0,soft_vote,Clear=0.90762713;Not Clear=0.09025211;Misleading=0.00212074;n_members=5
12057,Clear,0,soft_vote,Clear=0.72881372;Not Clear=0.26478504;Misleading=0.00640128;n_members=5
12058,Clear,0,soft_vote,Clear=0.90360517;Not Clear=0.09437844;Misleading=0.00201637;n_members=5
12059,Clear,0,soft_vote,Clear=0.85293145;Not Clear=0.14350567;Misleading=0.00356288;n_members=5
12060,Clear,0,soft_vote,Clear=0.95511082;Not Clear=0.04329406;Misleading=0.00159512;n_members=5
12061,Clear,0,soft_vote,Clear=0.94398197;Not Clear=0.05436657;Misleading=0.00165147;n_members=5
12062,Clear,0,soft_vote,Clear=0.93173387;Not Clear=0.06640392;Misleading=0.00186220;n_members=5
12063,Clear,0,soft_vote,Clear=0.76058398;Not Clear=0.23485224;Misleading=0.00456377;n_members=5
12064,Clear,0,soft_vote,Clear=0.98525938;Not Clear=0.01356361;Misleading=0.00117700;n_members=5
12065,Clear,0,soft_vote,Clear=0.97631348;Not Clear=0.02259143;Misleading=0.00109507;n_members=5
12066,Clear,0,soft_vote,Clear=0.89789033;Not Clear=0.09964646;Misleading=0.00246321;n_members=5
12067,Clear,0,soft_vote,Clear=0.91987908;Not Clear=0.07766419;Misleading=0.00245674;n_members=5
12068,Not Clear,1,soft_vote,Clear=0.23426033;Not Clear=0.76207815;Misleading=0.00366150;n_members=5
12069,Not Clear,1,soft_vote,Clear=0.09052039;Not Clear=0.90752630;Misleading=0.00195328;n_members=5
12070,Clear,0,soft_vote,Clear=0.98877765;Not Clear=0.01001955;Misleading=0.00120283;n_members=5
12071,Clear,0,soft_vote,Clear=0.80692190;Not Clear=0.19047213;Misleading=0.00260599;n_members=5
12072,Clear,0,soft_vote,Clear=0.93743670;Not Clear=0.06071279;Misleading=0.00185050;n_members=5
12073,Clear,0,soft_vote,Clear=0.97047408;Not Clear=0.02768749;Misleading=0.00183841;n_members=5
12074,Not Clear,1,soft_vote,Clear=0.46280752;Not Clear=0.53463889;Misleading=0.00255360;n_members=5
12075,Clear,0,soft_vote,Clear=0.98276123;Not Clear=0.01601800;Misleading=0.00122079;n_members=5
12076,Clear,0,soft_vote,Clear=0.60978041;Not Clear=0.38584387;Misleading=0.00437572;n_members=5
12077,Clear,0,soft_vote,Clear=0.91469818;Not Clear=0.08384449;Misleading=0.00145737;n_members=5
12078,Clear,0,soft_vote,Clear=0.95948807;Not Clear=0.03850157;Misleading=0.00201036;n_members=5
12079,Clear,0,soft_vote,Clear=0.96170120;Not Clear=0.03684964;Misleading=0.00144916;n_members=5
12080,Clear,0,soft_vote,Clear=0.96130840;Not Clear=0.03715302;Misleading=0.00153860;n_members=5
12081,Clear,0,soft_vote,Clear=0.96680065;Not Clear=0.03146537;Misleading=0.00173396;n_members=5
12082,Clear,0,soft_vote,Clear=0.95997596;Not Clear=0.03845670;Misleading=0.00156733;n_members=5
12083,Clear,0,soft_vote,Clear=0.90433137;Not Clear=0.09333917;Misleading=0.00232945;n_members=5
12084,Clear,0,soft_vote,Clear=0.89258264;Not Clear=0.10350711;Misleading=0.00391026;n_members=5
12085,Not Clear,1,soft_vote,Clear=0.25901785;Not Clear=0.73753172;Misleading=0.00345039;n_members=5
12086,Clear,0,soft_vote,Clear=0.96635487;Not Clear=0.03129259;Misleading=0.00235258;n_members=5
12087,Clear,0,soft_vote,Clear=0.95788972;Not Clear=0.04041382;Misleading=0.00169645;n_members=5
12088,Clear,0,soft_vote,Clear=0.86999867;Not Clear=0.12609848;Misleading=0.00390282;n_members=5
12089,Clear,0,soft_vote,Clear=0.64444875;Not Clear=0.34801271;Misleading=0.00753855;n_members=5
12090,Clear,0,soft_vote,Clear=0.67061399;Not Clear=0.32694067;Misleading=0.00244534;n_members=5
12091,Not Clear,1,soft_vote,Clear=0.33744355;Not Clear=0.65855868;Misleading=0.00399779;n_members=5
12092,Not Clear,1,soft_vote,Clear=0.40221672;Not Clear=0.59195304;Misleading=0.00583024;n_members=5
12093,Not Clear,1,soft_vote,Clear=0.15989309;Not Clear=0.83657063;Misleading=0.00353630;n_members=5
12094,Clear,0,soft_vote,Clear=0.79275472;Not Clear=0.20460445;Misleading=0.00264084;n_members=5
12095,Not Clear,1,soft_vote,Clear=0.10309333;Not Clear=0.89478019;Misleading=0.00212644;n_members=5
12096,Clear,0,soft_vote,Clear=0.80531553;Not Clear=0.19180058;Misleading=0.00288389;n_members=5
12097,Clear,0,soft_vote,Clear=0.99414953;Not Clear=0.00485069;Misleading=0.00099973;n_members=5
12098,Clear,0,soft_vote,Clear=0.90050536;Not Clear=0.09764478;Misleading=0.00184987;n_members=5
12099,Not Clear,1,soft_vote,Clear=0.09415972;Not Clear=0.90329386;Misleading=0.00254641;n_members=5
12100,Clear,0,soft_vote,Clear=0.84250189;Not Clear=0.15510327;Misleading=0.00239480;n_members=5
12101,Clear,0,soft_vote,Clear=0.51889418;Not Clear=0.47827202;Misleading=0.00283379;n_members=5
12102,Clear,0,soft_vote,Clear=0.96106148;Not Clear=0.03725590;Misleading=0.00168257;n_members=5
12103,Not Clear,1,soft_vote,Clear=0.07007730;Not Clear=0.92809014;Misleading=0.00183257;n_members=5
12104,Clear,0,soft_vote,Clear=0.90623238;Not Clear=0.09150033;Misleading=0.00226726;n_members=5
12105,Clear,0,soft_vote,Clear=0.85371000;Not Clear=0.14286142;Misleading=0.00342859;n_members=5
12106,Clear,0,soft_vote,Clear=0.94220542;Not Clear=0.05589892;Misleading=0.00189566;n_members=5
12107,Clear,0,soft_vote,Clear=0.93650479;Not Clear=0.06145701;Misleading=0.00203823;n_members=5
12108,Clear,0,soft_vote,Clear=0.95564346;Not Clear=0.04261556;Misleading=0.00174093;n_members=5
12109,Clear,0,soft_vote,Clear=0.98115137;Not Clear=0.01735446;Misleading=0.00149419;n_members=5
12110,Not Clear,1,soft_vote,Clear=0.20929581;Not Clear=0.78460188;Misleading=0.00610228;n_members=5
12111,Clear,0,soft_vote,Clear=0.98824166;Not Clear=0.01070998;Misleading=0.00104834;n_members=5
12112,Clear,0,soft_vote,Clear=0.88790690;Not Clear=0.11010869;Misleading=0.00198443;n_members=5
12113,Clear,0,soft_vote,Clear=0.93987456;Not Clear=0.05765921;Misleading=0.00246624;n_members=5
12114,Clear,0,soft_vote,Clear=0.80305207;Not Clear=0.19362048;Misleading=0.00332746;n_members=5
12115,Not Clear,1,soft_vote,Clear=0.44648247;Not Clear=0.54902865;Misleading=0.00448887;n_members=5
12116,Not Clear,1,soft_vote,Clear=0.17250606;Not Clear=0.82435402;Misleading=0.00313993;n_members=5
12117,Clear,0,soft_vote,Clear=0.97369609;Not Clear=0.02475486;Misleading=0.00154902;n_members=5
12118,Clear,0,soft_vote,Clear=0.79524621;Not Clear=0.20142586;Misleading=0.00332793;n_members=5
12119,Clear,0,soft_vote,Clear=0.72774593;Not Clear=0.26933945;Misleading=0.00291460;n_members=5
12120,Clear,0,soft_vote,Clear=0.90830318;Not Clear=0.08926974;Misleading=0.00242708;n_members=5
12121,Clear,0,soft_vote,Clear=0.58957173;Not Clear=0.40494798;Misleading=0.00548029;n_members=5
12122,Clear,0,soft_vote,Clear=0.75802628;Not Clear=0.23814087;Misleading=0.00383286;n_members=5
12123,Not Clear,1,soft_vote,Clear=0.05212265;Not Clear=0.94523488;Misleading=0.00264246;n_members=5
12124,Clear,0,soft_vote,Clear=0.98698393;Not Clear=0.01178054;Misleading=0.00123555;n_members=5
12125,Clear,0,soft_vote,Clear=0.58237544;Not Clear=0.41356901;Misleading=0.00405557;n_members=5
12126,Clear,0,soft_vote,Clear=0.85206316;Not Clear=0.14388673;Misleading=0.00405010;n_members=5
12127,Clear,0,soft_vote,Clear=0.94592588;Not Clear=0.05219688;Misleading=0.00187723;n_members=5
12128,Not Clear,1,soft_vote,Clear=0.26121755;Not Clear=0.73595171;Misleading=0.00283075;n_members=5
12129,Clear,0,soft_vote,Clear=0.56172059;Not Clear=0.43069013;Misleading=0.00758923;n_members=5
12130,Clear,0,soft_vote,Clear=0.76934358;Not Clear=0.22774314;Misleading=0.00291328;n_members=5
12131,Clear,0,soft_vote,Clear=0.77390920;Not Clear=0.22264350;Misleading=0.00344730;n_members=5
12132,Clear,0,soft_vote,Clear=0.96567898;Not Clear=0.03197896;Misleading=0.00234203;n_members=5
12133,Clear,0,soft_vote,Clear=0.59058399;Not Clear=0.40089834;Misleading=0.00851765;n_members=5
12134,Clear,0,soft_vote,Clear=0.96114037;Not Clear=0.03741438;Misleading=0.00144525;n_members=5
12135,Clear,0,soft_vote,Clear=0.93794777;Not Clear=0.05951057;Misleading=0.00254170;n_members=5
12136,Clear,0,soft_vote,Clear=0.83970205;Not Clear=0.15815300;Misleading=0.00214498;n_members=5
12137,Clear,0,soft_vote,Clear=0.88955838;Not Clear=0.10788617;Misleading=0.00255545;n_members=5
12138,Clear,0,soft_vote,Clear=0.98856862;Not Clear=0.01022041;Misleading=0.00121097;n_members=5
12139,Clear,0,soft_vote,Clear=0.96870971;Not Clear=0.03000282;Misleading=0.00128747;n_members=5
12140,Not Clear,1,soft_vote,Clear=0.32928954;Not Clear=0.66126352;Misleading=0.00944694;n_members=5
12141,Clear,0,soft_vote,Clear=0.71715282;Not Clear=0.27730097;Misleading=0.00554620;n_members=5
12142,Not Clear,1,soft_vote,Clear=0.27809017;Not Clear=0.71906911;Misleading=0.00284071;n_members=5
12143,Clear,0,soft_vote,Clear=0.80595316;Not Clear=0.19160254;Misleading=0.00244430;n_members=5
12144,Clear,0,soft_vote,Clear=0.97136624;Not Clear=0.02725686;Misleading=0.00137691;n_members=5
12145,Clear,0,soft_vote,Clear=0.94494829;Not Clear=0.05347381;Misleading=0.00157791;n_members=5
12146,Clear,0,soft_vote,Clear=0.98945351;Not Clear=0.00945843;Misleading=0.00108806;n_members=5
12147,Clear,0,soft_vote,Clear=0.54956643;Not Clear=0.44675390;Misleading=0.00367966;n_members=5
12148,Clear,0,soft_vote,Clear=0.93548282;Not Clear=0.06217723;Misleading=0.00233995;n_members=5
12149,Not Clear,1,soft_vote,Clear=0.06337452;Not Clear=0.93408195;Misleading=0.00254354;n_members=5
12150,Clear,0,soft_vote,Clear=0.97528186;Not Clear=0.02246319;Misleading=0.00225495;n_members=5
12151,Not Clear,1,soft_vote,Clear=0.32477240;Not Clear=0.67017259;Misleading=0.00505502;n_members=5
12152,Clear,0,soft_vote,Clear=0.87675582;Not Clear=0.12031188;Misleading=0.00293231;n_members=5
12153,Clear,0,soft_vote,Clear=0.95457096;Not Clear=0.04334658;Misleading=0.00208246;n_members=5
12154,Clear,0,soft_vote,Clear=0.93808098;Not Clear=0.05991866;Misleading=0.00200034;n_members=5
12155,Clear,0,soft_vote,Clear=0.94981373;Not Clear=0.04825567;Misleading=0.00193063;n_members=5
12156,Not Clear,1,soft_vote,Clear=0.21881182;Not Clear=0.77721525;Misleading=0.00397294;n_members=5
12157,Clear,0,soft_vote,Clear=0.84600877;Not Clear=0.15063206;Misleading=0.00335918;n_members=5
12158,Clear,0,soft_vote,Clear=0.86976531;Not Clear=0.12767209;Misleading=0.00256259;n_members=5
12159,Clear,0,soft_vote,Clear=0.85679682;Not Clear=0.14135165;Misleading=0.00185153;n_members=5
12160,Clear,0,soft_vote,Clear=0.54244194;Not Clear=0.45413540;Misleading=0.00342267;n_members=5
12161,Not Clear,1,soft_vote,Clear=0.10268374;Not Clear=0.89464376;Misleading=0.00267252;n_members=5
12162,Clear,0,soft_vote,Clear=0.92678859;Not Clear=0.07103750;Misleading=0.00217392;n_members=5
12163,Not Clear,1,soft_vote,Clear=0.34680959;Not Clear=0.64914180;Misleading=0.00404860;n_members=5
12164,Clear,0,soft_vote,Clear=0.90864632;Not Clear=0.08873221;Misleading=0.00262146;n_members=5
12165,Clear,0,soft_vote,Clear=0.89714680;Not Clear=0.10081772;Misleading=0.00203549;n_members=5
12166,Clear,0,soft_vote,Clear=0.99008471;Not Clear=0.00894719;Misleading=0.00096811;n_members=5
12167,Clear,0,soft_vote,Clear=0.86488840;Not Clear=0.13272743;Misleading=0.00238415;n_members=5
12168,Clear,0,soft_vote,Clear=0.90803168;Not Clear=0.08978511;Misleading=0.00218321;n_members=5
12169,Clear,0,soft_vote,Clear=0.84203265;Not Clear=0.15516527;Misleading=0.00280210;n_members=5
12170,Clear,0,soft_vote,Clear=0.96277656;Not Clear=0.03545282;Misleading=0.00177065;n_members=5
12171,Clear,0,soft_vote,Clear=0.79971072;Not Clear=0.19603090;Misleading=0.00425837;n_members=5
12172,Not Clear,1,soft_vote,Clear=0.14861380;Not Clear=0.84810679;Misleading=0.00327941;n_members=5
12173,Not Clear,1,soft_vote,Clear=0.08927059;Not Clear=0.90555494;Misleading=0.00517447;n_members=5
12174,Clear,0,soft_vote,Clear=0.91550449;Not Clear=0.08193463;Misleading=0.00256085;n_members=5
12175,Not Clear,1,soft_vote,Clear=0.41792879;Not Clear=0.57830909;Misleading=0.00376213;n_members=5
12176,Clear,0,soft_vote,Clear=0.97995824;Not Clear=0.01886406;Misleading=0.00117770;n_members=5
12177,Clear,0,soft_vote,Clear=0.51943922;Not Clear=0.47803379;Misleading=0.00252698;n_members=5
12178,Not Clear,1,soft_vote,Clear=0.14203047;Not Clear=0.85457444;Misleading=0.00339509;n_members=5
12179,Clear,0,soft_vote,Clear=0.57831919;Not Clear=0.41844716;Misleading=0.00323363;n_members=5
12180,Clear,0,soft_vote,Clear=0.93848994;Not Clear=0.05952967;Misleading=0.00198037;n_members=5
12181,Clear,0,soft_vote,Clear=0.96702195;Not Clear=0.03169744;Misleading=0.00128059;n_members=5
12182,Not Clear,1,soft_vote,Clear=0.16100926;Not Clear=0.83564033;Misleading=0.00335039;n_members=5
12183,Not Clear,1,soft_vote,Clear=0.21438612;Not Clear=0.78194256;Misleading=0.00367131;n_members=5
12184,Clear,0,soft_vote,Clear=0.94137667;Not Clear=0.05648341;Misleading=0.00213993;n_members=5
12185,Clear,0,soft_vote,Clear=0.96278918;Not Clear=0.03552140;Misleading=0.00168944;n_members=5
12186,Clear,0,soft_vote,Clear=0.81989763;Not Clear=0.17835846;Misleading=0.00174390;n_members=5
12187,Clear,0,soft_vote,Clear=0.79424842;Not Clear=0.20190714;Misleading=0.00384442;n_members=5
12188,Not Clear,1,soft_vote,Clear=0.19524567;Not Clear=0.80123305;Misleading=0.00352129;n_members=5
12189,Clear,0,soft_vote,Clear=0.69744424;Not Clear=0.29912817;Misleading=0.00342760;n_members=5
12190,Not Clear,1,soft_vote,Clear=0.12526213;Not Clear=0.87032143;Misleading=0.00441641;n_members=5
12191,Clear,0,soft_vote,Clear=0.85790817;Not Clear=0.13945253;Misleading=0.00263933;n_members=5
12192,Clear,0,soft_vote,Clear=0.91255938;Not Clear=0.08525480;Misleading=0.00218584;n_members=5
12193,Clear,0,soft_vote,Clear=0.90484630;Not Clear=0.09261154;Misleading=0.00254218;n_members=5
12194,Not Clear,1,soft_vote,Clear=0.18292278;Not Clear=0.81387047;Misleading=0.00320674;n_members=5
12195,Not Clear,1,soft_vote,Clear=0.16586160;Not Clear=0.83111237;Misleading=0.00302602;n_members=5
12196,Not Clear,1,soft_vote,Clear=0.16557139;Not Clear=0.83031148;Misleading=0.00411717;n_members=5
12197,Clear,0,soft_vote,Clear=0.99096261;Not Clear=0.00818140;Misleading=0.00085603;n_members=5
12198,Clear,0,soft_vote,Clear=0.80487234;Not Clear=0.19180702;Misleading=0.00332067;n_members=5
12199,Clear,0,soft_vote,Clear=0.84595627;Not Clear=0.15043986;Misleading=0.00360386;n_members=5
12200,Clear,0,soft_vote,Clear=0.97114501;Not Clear=0.02744214;Misleading=0.00141287;n_members=5
12201,Clear,0,soft_vote,Clear=0.79708596;Not Clear=0.19946265;Misleading=0.00345136;n_members=5
12202,Not Clear,1,soft_vote,Clear=0.08564668;Not Clear=0.91219561;Misleading=0.00215770;n_members=5
12203,Clear,0,soft_vote,Clear=0.97450985;Not Clear=0.02403507;Misleading=0.00145510;n_members=5
12204,Clear,0,soft_vote,Clear=0.99285421;Not Clear=0.00635437;Misleading=0.00079142;n_members=5
12205,Clear,0,soft_vote,Clear=0.78268410;Not Clear=0.21435830;Misleading=0.00295761;n_members=5
12206,Clear,0,soft_vote,Clear=0.77215511;Not Clear=0.22547821;Misleading=0.00236669;n_members=5
12207,Not Clear,1,soft_vote,Clear=0.13654816;Not Clear=0.85986687;Misleading=0.00358496;n_members=5
12208,Clear,0,soft_vote,Clear=0.62101150;Not Clear=0.37476853;Misleading=0.00421997;n_members=5
12209,Clear,0,soft_vote,Clear=0.86724299;Not Clear=0.13065104;Misleading=0.00210600;n_members=5
12210,Clear,0,soft_vote,Clear=0.72696374;Not Clear=0.27008630;Misleading=0.00294994;n_members=5
12211,Clear,0,soft_vote,Clear=0.98423772;Not Clear=0.01476097;Misleading=0.00100130;n_members=5
12212,Clear,0,soft_vote,Clear=0.87016288;Not Clear=0.12731747;Misleading=0.00251962;n_members=5
12213,Clear,0,soft_vote,Clear=0.59873690;Not Clear=0.39861719;Misleading=0.00264591;n_members=5
12214,Clear,0,soft_vote,Clear=0.97277133;Not Clear=0.02578172;Misleading=0.00144693;n_members=5
12215,Clear,0,soft_vote,Clear=0.95284038;Not Clear=0.04493210;Misleading=0.00222749;n_members=5
12216,Clear,0,soft_vote,Clear=0.86399982;Not Clear=0.13349537;Misleading=0.00250481;n_members=5
12217,Clear,0,soft_vote,Clear=0.89166694;Not Clear=0.10627723;Misleading=0.00205585;n_members=5
12218,Clear,0,soft_vote,Clear=0.96237963;Not Clear=0.03552839;Misleading=0.00209198;n_members=5
12219,Clear,0,soft_vote,Clear=0.78734189;Not Clear=0.20910655;Misleading=0.00355154;n_members=5
12220,Not Clear,1,soft_vote,Clear=0.33020127;Not Clear=0.66512227;Misleading=0.00467647;n_members=5
12221,Clear,0,soft_vote,Clear=0.95100050;Not Clear=0.04758557;Misleading=0.00141394;n_members=5
12222,Clear,0,soft_vote,Clear=0.65562909;Not Clear=0.33695458;Misleading=0.00741635;n_members=5
12223,Clear,0,soft_vote,Clear=0.97476972;Not Clear=0.02333654;Misleading=0.00189373;n_members=5
12224,Clear,0,soft_vote,Clear=0.98352653;Not Clear=0.01519021;Misleading=0.00128326;n_members=5
12225,Clear,0,soft_vote,Clear=0.61044950;Not Clear=0.38503581;Misleading=0.00451469;n_members=5
12226,Not Clear,1,soft_vote,Clear=0.23574743;Not Clear=0.75938232;Misleading=0.00487027;n_members=5
12227,Not Clear,1,soft_vote,Clear=0.40693284;Not Clear=0.58731571;Misleading=0.00575146;n_members=5
12228,Not Clear,1,soft_vote,Clear=0.19526085;Not Clear=0.80209696;Misleading=0.00264218;n_members=5
12229,Clear,0,soft_vote,Clear=0.98497243;Not Clear=0.01379457;Misleading=0.00123299;n_members=5
12230,Clear,0,soft_vote,Clear=0.84498545;Not Clear=0.14883324;Misleading=0.00618133;n_members=5
12231,Clear,0,soft_vote,Clear=0.88777253;Not Clear=0.10997924;Misleading=0.00224824;n_members=5
12232,Clear,0,soft_vote,Clear=0.71561939;Not Clear=0.28234883;Misleading=0.00203174;n_members=5
12233,Clear,0,soft_vote,Clear=0.95038143;Not Clear=0.04715848;Misleading=0.00246009;n_members=5
12234,Not Clear,1,soft_vote,Clear=0.32117755;Not Clear=0.67621115;Misleading=0.00261129;n_members=5
12235,Clear,0,soft_vote,Clear=0.51261127;Not Clear=0.48381353;Misleading=0.00357518;n_members=5
12236,Not Clear,1,soft_vote,Clear=0.21774165;Not Clear=0.77785362;Misleading=0.00440474;n_members=5
12237,Clear,0,soft_vote,Clear=0.95112401;Not Clear=0.04713675;Misleading=0.00173924;n_members=5
12238,Clear,0,soft_vote,Clear=0.79057631;Not Clear=0.20710050;Misleading=0.00232319;n_members=5
12239,Clear,0,soft_vote,Clear=0.91418699;Not Clear=0.08317636;Misleading=0.00263663;n_members=5
12240,Clear,0,soft_vote,Clear=0.89702375;Not Clear=0.10100652;Misleading=0.00196971;n_members=5
12241,Clear,0,soft_vote,Clear=0.95783690;Not Clear=0.04069414;Misleading=0.00146894;n_members=5
12242,Clear,0,soft_vote,Clear=0.85709768;Not Clear=0.13994382;Misleading=0.00295852;n_members=5
12243,Clear,0,soft_vote,Clear=0.95976291;Not Clear=0.03891600;Misleading=0.00132111;n_members=5
12244,Not Clear,1,soft_vote,Clear=0.12488810;Not Clear=0.87189783;Misleading=0.00321405;n_members=5
12245,Clear,0,soft_vote,Clear=0.98268912;Not Clear=0.01604423;Misleading=0.00126667;n_members=5
12246,Clear,0,soft_vote,Clear=0.96306437;Not Clear=0.03516080;Misleading=0.00177487;n_members=5
12247,Not Clear,1,soft_vote,Clear=0.04958738;Not Clear=0.94840387;Misleading=0.00200877;n_members=5
12248,Clear,0,soft_vote,Clear=0.90255976;Not Clear=0.09552281;Misleading=0.00191747;n_members=5
12249,Clear,0,soft_vote,Clear=0.98533898;Not Clear=0.01347035;Misleading=0.00119066;n_members=5
12250,Not Clear,1,soft_vote,Clear=0.08922342;Not Clear=0.90903387;Misleading=0.00174273;n_members=5
12251,Clear,0,soft_vote,Clear=0.98507493;Not Clear=0.01368552;Misleading=0.00123952;n_members=5
12252,Clear,0,soft_vote,Clear=0.77010148;Not Clear=0.22732701;Misleading=0.00257149;n_members=5
12253,Clear,0,soft_vote,Clear=0.82049395;Not Clear=0.17690548;Misleading=0.00260063;n_members=5
12254,Clear,0,soft_vote,Clear=0.61440048;Not Clear=0.38081095;Misleading=0.00478857;n_members=5
12255,Clear,0,soft_vote,Clear=0.86670060;Not Clear=0.12930571;Misleading=0.00399369;n_members=5
