id,member,score_no,score_yes,pred
12065,focal_g3_w4,0.05380943,0.94619060,Yes
12066,focal_g3_w4,0.48485705,0.51514298,Yes
12067,focal_g3_w4,0.01991933,0.98008060,Yes
12068,focal_g3_w4,0.11585274,0.88414729,Yes
12069,focal_g3_w4,0.01047449,0.98952556,Yes
12070,focal_g3_w4,0.00358752,0.99641246,Yes
12071,focal_g3_w4,0.05389721,0.94610280,Yes
12072,focal_g3_w4,0.02275807,0.97724199,Yes
12073,focal_g3_w4,0.07913764,0.92086238,Yes
12074,focal_g3_w4,0.00270204,0.99729794,Yes
12075,focal_g3_w4,0.24221776,0.75778228,Yes
12076,focal_g3_w4,0.76151454,0.23848552,No
12077,focal_g3_w4,0.03562383,0.96437621,Yes
12078,focal_g3_w4,0.86728930,0.13271071,No
12079,focal_g3_w4,0.17530830,0.82469171,Yes
12080,focal_g3_w4,0.67819285,0.32180715,No
12081,focal_g3_w4,0.01453052,0.98546946,Yes
12082,focal_g3_w4,0.00199789,0.99800211,Yes
12083,focal_g3_w4,0.75185007,0.24814993,No
12084,focal_g3_w4,0.98515785,0.01484218,No
12085,focal_g3_w4,0.00393034,0.99606967,Yes
12086,focal_g3_w4,0.95246845,0.04753150,No
12087,focal_g3_w4,0.05280937,0.94719058,Yes
12088,focal_g3_w4,0.63489044,0.36510956,No
12089,focal_g3_w4,0.95177275,0.04822726,No
12090,focal_g3_w4,0.02846475,0.97153521,Yes
12091,focal_g3_w4,0.30647454,0.69352549,Yes
12092,focal_g3_w4,0.09480079,0.90519923,Yes
12093,focal_g3_w4,0.01963906,0.98036093,Yes
12094,focal_g3_w4,0.02606412,0.97393584,Yes
12095,focal_g3_w4,0.18655601,0.81344402,Yes
12096,focal_g3_w4,0.00413527,0.99586475,Yes
12097,focal_g3_w4,0.91726685,0.08273318,No
12098,focal_g3_w4,0.02071256,0.97928751,Yes
12099,focal_g3_w4,0.70374697,0.29625303,No
12100,focal_g3_w4,0.02036820,0.97963184,Yes
12101,focal_g3_w4,0.01896206,0.98103791,Yes
12102,focal_g3_w4,0.01298314,0.98701686,Yes
12103,focal_g3_w4,0.01591239,0.98408765,Yes
12104,focal_g3_w4,0.13374057,0.86625940,Yes
12105,focal_g3_w4,0.41829705,0.58170295,Yes
12106,focal_g3_w4,0.00494031,0.99505973,Yes
12107,focal_g3_w4,0.16413325,0.83586675,Yes
12108,focal_g3_w4,0.01082523,0.98917484,Yes
12109,focal_g3_w4,0.03816653,0.96183354,Yes
12110,focal_g3_w4,0.46012220,0.53987777,Yes
12111,focal_g3_w4,0.72566611,0.27433386,No
12112,focal_g3_w4,0.00678582,0.99321413,Yes
12113,focal_g3_w4,0.00440471,0.99559528,Yes
12114,focal_g3_w4,0.01816791,0.98183203,Yes
12115,focal_g3_w4,0.33245760,0.66754240,Yes
12116,focal_g3_w4,0.02681601,0.97318405,Yes
12117,focal_g3_w4,0.70880443,0.29119560,No
12118,focal_g3_w4,0.04389859,0.95610142,Yes
12119,focal_g3_w4,0.00554722,0.99445277,Yes
12120,focal_g3_w4,0.01950471,0.98049533,Yes
12121,focal_g3_w4,0.00648846,0.99351150,Yes
12122,focal_g3_w4,0.10845855,0.89154142,Yes
12123,focal_g3_w4,0.00798239,0.99201763,Yes
12124,focal_g3_w4,0.15783645,0.84216350,Yes
12125,focal_g3_w4,0.03696248,0.96303755,Yes
12126,focal_g3_w4,0.02482022,0.97517985,Yes
12127,focal_g3_w4,0.03066693,0.96933305,Yes
12128,focal_g3_w4,0.01365782,0.98634213,Yes
12129,focal_g3_w4,0.95314956,0.04685052,No
12130,focal_g3_w4,0.00740421,0.99259585,Yes
12131,focal_g3_w4,0.27008823,0.72991174,Yes
12132,focal_g3_w4,0.99200332,0.00799667,No
12133,focal_g3_w4,0.91570711,0.08429283,No
12134,focal_g3_w4,0.00671334,0.99328667,Yes
12135,focal_g3_w4,0.00502090,0.99497908,Yes
12136,focal_g3_w4,0.01535181,0.98464823,Yes
12137,focal_g3_w4,0.73899364,0.26100639,No
12138,focal_g3_w4,0.00419305,0.99580693,Yes
12139,focal_g3_w4,0.01793119,0.98206884,Yes
12140,focal_g3_w4,0.01482101,0.98517901,Yes
12141,focal_g3_w4,0.97880542,0.02119462,No
12142,focal_g3_w4,0.05434520,0.94565481,Yes
12143,focal_g3_w4,0.00344327,0.99655676,Yes
12144,focal_g3_w4,0.00498520,0.99501485,Yes
12145,focal_g3_w4,0.01024130,0.98975873,Yes
12146,focal_g3_w4,0.00563981,0.99436027,Yes
12147,focal_g3_w4,0.00492025,0.99507976,Yes
12148,focal_g3_w4,0.03782086,0.96217918,Yes
12149,focal_g3_w4,0.01182062,0.98817933,Yes
12150,focal_g3_w4,0.95993829,0.04006168,No
12151,focal_g3_w4,0.88542366,0.11457638,No
12152,focal_g3_w4,0.97485936,0.02514069,No
12153,focal_g3_w4,0.78045434,0.21954565,No
12154,focal_g3_w4,0.01113031,0.98886967,Yes
12155,focal_g3_w4,0.00407396,0.99592602,Yes
12156,focal_g3_w4,0.98709291,0.01290703,No
12157,focal_g3_w4,0.00607423,0.99392575,Yes
12158,focal_g3_w4,0.25915831,0.74084169,Yes
12159,focal_g3_w4,0.01027654,0.98972344,Yes
12160,focal_g3_w4,0.01044945,0.98955053,Yes
12161,focal_g3_w4,0.01127469,0.98872536,Yes
12162,focal_g3_w4,0.00631564,0.99368435,Yes
12163,focal_g3_w4,0.84001404,0.15998596,No
12164,focal_g3_w4,0.01058262,0.98941737,Yes
12165,focal_g3_w4,0.02537789,0.97462213,Yes
12166,focal_g3_w4,0.00926328,0.99073666,Yes
12167,focal_g3_w4,0.00416332,0.99583662,Yes
12168,focal_g3_w4,0.03467391,0.96532601,Yes
12169,focal_g3_w4,0.02517393,0.97482604,Yes
12170,focal_g3_w4,0.00977128,0.99022877,Yes
12171,focal_g3_w4,0.05067414,0.94932586,Yes
12172,focal_g3_w4,0.02572126,0.97427875,Yes
12173,focal_g3_w4,0.04848298,0.95151699,Yes
12174,focal_g3_w4,0.01227472,0.98772532,Yes
12175,focal_g3_w4,0.00688150,0.99311852,Yes
12176,focal_g3_w4,0.66569954,0.33430043,No
12177,focal_g3_w4,0.04831331,0.95168668,Yes
12178,focal_g3_w4,0.01455684,0.98544323,Yes
12179,focal_g3_w4,0.04076617,0.95923382,Yes
12180,focal_g3_w4,0.00513455,0.99486548,Yes
12181,focal_g3_w4,0.01793439,0.98206562,Yes
12182,focal_g3_w4,0.00663135,0.99336869,Yes
12183,focal_g3_w4,0.01471643,0.98528361,Yes
12184,focal_g3_w4,0.04810346,0.95189649,Yes
12185,focal_g3_w4,0.00233912,0.99766088,Yes
12186,focal_g3_w4,0.00431707,0.99568295,Yes
12187,focal_g3_w4,0.98913491,0.01086507,No
12188,focal_g3_w4,0.14406760,0.85593235,Yes
12189,focal_g3_w4,0.00412771,0.99587232,Yes
12190,focal_g3_w4,0.01361474,0.98638529,Yes
12191,focal_g3_w4,0.00784384,0.99215615,Yes
12192,focal_g3_w4,0.01326203,0.98673797,Yes
12193,focal_g3_w4,0.08089600,0.91910398,Yes
12194,focal_g3_w4,0.02745358,0.97254646,Yes
12195,focal_g3_w4,0.01539287,0.98460716,Yes
12196,focal_g3_w4,0.08399738,0.91600257,Yes
12197,focal_g3_w4,0.45668766,0.54331237,Yes
12198,focal_g3_w4,0.01717140,0.98282856,Yes
12199,focal_g3_w4,0.01373207,0.98626792,Yes
12200,focal_g3_w4,0.02722703,0.97277302,Yes
12201,focal_g3_w4,0.64776909,0.35223091,No
12202,focal_g3_w4,0.02427057,0.97572941,Yes
12203,focal_g3_w4,0.00413357,0.99586642,Yes
12204,focal_g3_w4,0.00604328,0.99395669,Yes
12205,focal_g3_w4,0.69729757,0.30270240,No
12206,focal_g3_w4,0.01333168,0.98666835,Yes
12207,focal_g3_w4,0.00425603,0.99574393,Yes
12208,focal_g3_w4,0.00643472,0.99356526,Yes
12209,focal_g3_w4,0.02390816,0.97609180,Yes
12210,focal_g3_w4,0.00842834,0.99157166,Yes
12211,focal_g3_w4,0.01394723,0.98605275,Yes
12212,focal_g3_w4,0.00811787,0.99188215,Yes
12213,focal_g3_w4,0.00564223,0.99435776,Yes
12214,focal_g3_w4,0.00994939,0.99005061,Yes
12215,focal_g3_w4,0.91217631,0.08782367,No
12216,focal_g3_w4,0.00260337,0.99739659,Yes
12217,focal_g3_w4,0.15995142,0.84004861,Yes
12218,focal_g3_w4,0.04976345,0.95023650,Yes
12219,focal_g3_w4,0.07030831,0.92969167,Yes
12220,focal_g3_w4,0.01249541,0.98750466,Yes
12221,focal_g3_w4,0.03613598,0.96386403,Yes
12222,focal_g3_w4,0.05786207,0.94213796,Yes
12223,focal_g3_w4,0.41485000,0.58514994,Yes
12224,focal_g3_w4,0.76161659,0.23838340,No
12225,focal_g3_w4,0.01696667,0.98303336,Yes
12226,focal_g3_w4,0.96863121,0.03136878,No
12227,focal_g3_w4,0.09093800,0.90906203,Yes
12228,focal_g3_w4,0.01980583,0.98019421,Yes
12229,focal_g3_w4,0.12986325,0.87013674,Yes
12230,focal_g3_w4,0.98062015,0.01937987,No
12231,focal_g3_w4,0.11417136,0.88582867,Yes
12232,focal_g3_w4,0.02650227,0.97349781,Yes
12233,focal_g3_w4,0.09842536,0.90157467,Yes
12234,focal_g3_w4,0.17921437,0.82078564,Yes
12235,focal_g3_w4,0.00841979,0.99158019,Yes
12236,focal_g3_w4,0.04261334,0.95738673,Yes
12237,focal_g3_w4,0.01286900,0.98713106,Yes
12238,focal_g3_w4,0.01197370,0.98802626,Yes
12239,focal_g3_w4,0.12484255,0.87515742,Yes
12240,focal_g3_w4,0.00505217,0.99494779,Yes
12241,focal_g3_w4,0.41834486,0.58165514,Yes
12242,focal_g3_w4,0.01638092,0.98361903,Yes
12243,focal_g3_w4,0.00408466,0.99591535,Yes
12244,focal_g3_w4,0.03025631,0.96974373,Yes
12245,focal_g3_w4,0.00474354,0.99525648,Yes
12246,focal_g3_w4,0.52860481,0.47139522,No
12247,focal_g3_w4,0.00414654,0.99585354,Yes
12248,focal_g3_w4,0.76879853,0.23120147,No
12249,focal_g3_w4,0.00449774,0.99550229,Yes
12250,focal_g3_w4,0.00381285,0.99618715,Yes
12251,focal_g3_w4,0.00629567,0.99370438,Yes
12252,focal_g3_w4,0.09266501,0.90733504,Yes
12253,focal_g3_w4,0.03165331,0.96834666,Yes
12254,focal_g3_w4,0.13269651,0.86730349,Yes
12255,focal_g3_w4,0.37038311,0.62961692,Yes
12256,focal_g3_w4,0.00565915,0.99434078,Yes
12257,focal_g3_w4,0.00838353,0.99161643,Yes
12258,focal_g3_w4,0.01641100,0.98358905,Yes
12259,focal_g3_w4,0.05843700,0.94156301,Yes
12260,focal_g3_w4,0.34574556,0.65425444,Yes
12261,focal_g3_w4,0.18547188,0.81452817,Yes
12262,focal_g3_w4,0.00793348,0.99206650,Yes
12263,focal_g3_w4,0.81156135,0.18843867,No
12264,focal_g3_w4,0.22951108,0.77048892,Yes
12265,focal_g3_w4,0.18451524,0.81548476,Yes
12266,focal_g3_w4,0.48393726,0.51606274,Yes
12267,focal_g3_w4,0.01448568,0.98551428,Yes
12268,focal_g3_w4,0.00912663,0.99087334,Yes
12269,focal_g3_w4,0.73219657,0.26780337,No
12270,focal_g3_w4,0.00629218,0.99370778,Yes
12271,focal_g3_w4,0.98550409,0.01449585,No
12272,focal_g3_w4,0.00852193,0.99147803,Yes
12273,focal_g3_w4,0.01028467,0.98971528,Yes
12274,focal_g3_w4,0.04712081,0.95287919,Yes
12275,focal_g3_w4,0.47148257,0.52851743,Yes
12276,focal_g3_w4,0.00694521,0.99305481,Yes
12277,focal_g3_w4,0.01790702,0.98209298,Yes
12278,focal_g3_w4,0.08538681,0.91461319,Yes
12279,focal_g3_w4,0.01059969,0.98940033,Yes
12280,focal_g3_w4,0.11087977,0.88912016,Yes
12281,focal_g3_w4,0.00738148,0.99261850,Yes
12282,focal_g3_w4,0.02789428,0.97210568,Yes
12283,focal_g3_w4,0.02214337,0.97785670,Yes
12284,focal_g3_w4,0.01262300,0.98737699,Yes
12285,focal_g3_w4,0.00784766,0.99215227,Yes
12286,focal_g3_w4,0.11916835,0.88083166,Yes
12287,focal_g3_w4,0.02098812,0.97901183,Yes
12288,focal_g3_w4,0.00504333,0.99495667,Yes
12289,focal_g3_w4,0.91647738,0.08352260,No
12290,focal_g3_w4,0.01468683,0.98531324,Yes
12291,focal_g3_w4,0.92567444,0.07432561,No
12292,focal_g3_w4,0.28467339,0.71532661,Yes
12293,focal_g3_w4,0.00638499,0.99361503,Yes
12294,focal_g3_w4,0.02542796,0.97457200,Yes
12295,focal_g3_w4,0.36190289,0.63809711,Yes
12296,focal_g3_w4,0.00538501,0.99461502,Yes
12297,focal_g3_w4,0.00583420,0.99416578,Yes
12298,focal_g3_w4,0.00877846,0.99122155,Yes
12299,focal_g3_w4,0.72922653,0.27077347,No
12300,focal_g3_w4,0.02035923,0.97964078,Yes
12301,focal_g3_w4,0.00459567,0.99540436,Yes
12302,focal_g3_w4,0.98313230,0.01686767,No
12303,focal_g3_w4,0.01286561,0.98713440,Yes
12304,focal_g3_w4,0.62369478,0.37630522,No
12305,focal_g3_w4,0.15489100,0.84510905,Yes
12306,focal_g3_w4,0.03494732,0.96505260,Yes
12307,focal_g3_w4,0.00866089,0.99133903,Yes
12308,focal_g3_w4,0.04629526,0.95370477,Yes
12309,focal_g3_w4,0.00494192,0.99505806,Yes
12310,focal_g3_w4,0.01078542,0.98921460,Yes
12311,focal_g3_w4,0.99427068,0.00572935,No
12312,focal_g3_w4,0.01003166,0.98996836,Yes
12313,focal_g3_w4,0.44970113,0.55029887,Yes
12314,focal_g3_w4,0.11216934,0.88783067,Yes
12315,focal_g3_w4,0.03406640,0.96593362,Yes
12316,focal_g3_w4,0.00364048,0.99635953,Yes
12317,focal_g3_w4,0.39742228,0.60257775,Yes
12318,focal_g3_w4,0.00454577,0.99545419,Yes
12319,focal_g3_w4,0.05431321,0.94568682,Yes
12320,focal_g3_w4,0.31349683,0.68650323,Yes
12321,focal_g3_w4,0.01593528,0.98406476,Yes
12322,focal_g3_w4,0.01342248,0.98657751,Yes
12323,focal_g3_w4,0.87952071,0.12047934,No
12324,focal_g3_w4,0.11947697,0.88052303,Yes
12325,focal_g3_w4,0.89018542,0.10981456,No
12326,focal_g3_w4,0.00322079,0.99677926,Yes
12327,focal_g3_w4,0.98002464,0.01997535,No
12328,focal_g3_w4,0.22327450,0.77672547,Yes
12329,focal_g3_w4,0.01299104,0.98700899,Yes
12330,focal_g3_w4,0.00918675,0.99081320,Yes
12331,focal_g3_w4,0.00892710,0.99107295,Yes
12332,focal_g3_w4,0.00251263,0.99748731,Yes
12333,focal_g3_w4,0.91306257,0.08693746,No
12334,focal_g3_w4,0.01005756,0.98994243,Yes
12335,focal_g3_w4,0.00612740,0.99387264,Yes
12336,focal_g3_w4,0.00817858,0.99182135,Yes
12337,focal_g3_w4,0.01788077,0.98211920,Yes
12338,focal_g3_w4,0.00658104,0.99341899,Yes
12339,focal_g3_w4,0.27488396,0.72511607,Yes
12340,focal_g3_w4,0.02545794,0.97454208,Yes
12341,focal_g3_w4,0.11112594,0.88887399,Yes
12342,focal_g3_w4,0.00325597,0.99674404,Yes
12343,focal_g3_w4,0.04707541,0.95292467,Yes
12344,focal_g3_w4,0.94520515,0.05479483,No
12345,focal_g3_w4,0.01200011,0.98799986,Yes
12346,focal_g3_w4,0.00829991,0.99170011,Yes
12347,focal_g3_w4,0.00518309,0.99481696,Yes
12348,focal_g3_w4,0.96990639,0.03009357,No
12349,focal_g3_w4,0.98082465,0.01917534,No
12350,focal_g3_w4,0.00563478,0.99436522,Yes
12351,focal_g3_w4,0.97292757,0.02707243,No
12352,focal_g3_w4,0.12340054,0.87659943,Yes
12353,focal_g3_w4,0.82061505,0.17938490,No
12354,focal_g3_w4,0.00578265,0.99421740,Yes
12355,focal_g3_w4,0.96468961,0.03531039,No
12356,focal_g3_w4,0.03787439,0.96212566,Yes
12357,focal_g3_w4,0.03429080,0.96570921,Yes
12358,focal_g3_w4,0.10539805,0.89460194,Yes
12359,focal_g3_w4,0.65554839,0.34445164,No
12360,focal_g3_w4,0.00735561,0.99264431,Yes
12361,focal_g3_w4,0.02677043,0.97322953,Yes
12362,focal_g3_w4,0.80326337,0.19673659,No
12363,focal_g3_w4,0.00985025,0.99014974,Yes
12364,focal_g3_w4,0.00882286,0.99117720,Yes
12365,focal_g3_w4,0.00285459,0.99714535,Yes
12366,focal_g3_w4,0.03238203,0.96761793,Yes
12367,focal_g3_w4,0.00951458,0.99048537,Yes
12368,focal_g3_w4,0.01228525,0.98771477,Yes
12369,focal_g3_w4,0.85463846,0.14536154,No
12370,focal_g3_w4,0.01229966,0.98770034,Yes
12371,focal_g3_w4,0.01548320,0.98451680,Yes
12372,focal_g3_w4,0.00295238,0.99704760,Yes
12373,focal_g3_w4,0.01657695,0.98342299,Yes
12374,focal_g3_w4,0.02021069,0.97978926,Yes
12375,focal_g3_w4,0.02364316,0.97635686,Yes
12376,focal_g3_w4,0.02120269,0.97879732,Yes
12377,focal_g3_w4,0.00559650,0.99440348,Yes
12378,focal_g3_w4,0.07233068,0.92766929,Yes
12379,focal_g3_w4,0.00430431,0.99569571,Yes
12380,focal_g3_w4,0.01813401,0.98186594,Yes
12381,focal_g3_w4,0.02746930,0.97253066,Yes
12382,focal_g3_w4,0.00600432,0.99399573,Yes
12383,focal_g3_w4,0.01666092,0.98333907,Yes
12384,focal_g3_w4,0.11838374,0.88161629,Yes
12385,focal_g3_w4,0.00665117,0.99334878,Yes
12386,focal_g3_w4,0.87233227,0.12766770,No
12387,focal_g3_w4,0.22455870,0.77544135,Yes
12388,focal_g3_w4,0.01934109,0.98065889,Yes
12389,focal_g3_w4,0.01786464,0.98213542,Yes
12390,focal_g3_w4,0.89281511,0.10718485,No
12391,focal_g3_w4,0.16074488,0.83925509,Yes
12392,focal_g3_w4,0.06027463,0.93972540,Yes
12393,focal_g3_w4,0.14491840,0.85508162,Yes
12394,focal_g3_w4,0.00608407,0.99391598,Yes
12395,focal_g3_w4,0.00516559,0.99483442,Yes
12396,focal_g3_w4,0.01261070,0.98738933,Yes
12397,focal_g3_w4,0.00871211,0.99128789,Yes
12398,focal_g3_w4,0.01641472,0.98358524,Yes
12399,focal_g3_w4,0.19774687,0.80225313,Yes
12400,focal_g3_w4,0.03733220,0.96266776,Yes
12401,focal_g3_w4,0.14491218,0.85508782,Yes
12402,focal_g3_w4,0.02193475,0.97806519,Yes
12403,focal_g3_w4,0.27403042,0.72596955,Yes
12404,focal_g3_w4,0.01005968,0.98994035,Yes
12405,focal_g3_w4,0.00403922,0.99596077,Yes
12406,focal_g3_w4,0.10444084,0.89555919,Yes
12407,focal_g3_w4,0.05618975,0.94381022,Yes
12408,focal_g3_w4,0.00976034,0.99023962,Yes
12409,focal_g3_w4,0.52100044,0.47899956,No
12410,focal_g3_w4,0.00429780,0.99570221,Yes
12411,focal_g3_w4,0.02578053,0.97421944,Yes
12412,focal_g3_w4,0.02726922,0.97273082,Yes
12413,focal_g3_w4,0.00840011,0.99159992,Yes
12414,focal_g3_w4,0.00609470,0.99390525,Yes
12415,focal_g3_w4,0.00739111,0.99260885,Yes
12416,focal_g3_w4,0.20833433,0.79166567,Yes
12417,focal_g3_w4,0.00313028,0.99686974,Yes
12418,focal_g3_w4,0.00577484,0.99422520,Yes
12419,focal_g3_w4,0.09136110,0.90863889,Yes
12420,focal_g3_w4,0.00316855,0.99683148,Yes
12421,focal_g3_w4,0.00682342,0.99317658,Yes
12422,focal_g3_w4,0.03321479,0.96678525,Yes
12423,focal_g3_w4,0.02207155,0.97792852,Yes
12424,focal_g3_w4,0.01081600,0.98918402,Yes
12425,focal_g3_w4,0.01084347,0.98915648,Yes
12426,focal_g3_w4,0.06277517,0.93722481,Yes
12427,focal_g3_w4,0.04530822,0.95469171,Yes
12428,focal_g3_w4,0.00770803,0.99229199,Yes
12429,focal_g3_w4,0.04278373,0.95721626,Yes
12430,focal_g3_w4,0.00484053,0.99515945,Yes
12431,focal_g3_w4,0.01569933,0.98430067,Yes
12432,focal_g3_w4,0.01005566,0.98994434,Yes
12433,focal_g3_w4,0.00694137,0.99305868,Yes
12434,focal_g3_w4,0.01154953,0.98845041,Yes
12435,focal_g3_w4,0.88329262,0.11670735,No
12436,focal_g3_w4,0.01804587,0.98195410,Yes
12437,focal_g3_w4,0.03984053,0.96015948,Yes
12438,focal_g3_w4,0.01009059,0.98990941,Yes
12439,focal_g3_w4,0.00755296,0.99244702,Yes
12440,focal_g3_w4,0.00413261,0.99586737,Yes
12441,focal_g3_w4,0.90248036,0.09751968,No
12442,focal_g3_w4,0.15345493,0.84654504,Yes
12443,focal_g3_w4,0.00890013,0.99109989,Yes
12444,focal_g3_w4,0.03270118,0.96729887,Yes
12445,focal_g3_w4,0.27806619,0.72193378,Yes
12446,focal_g3_w4,0.05991269,0.94008732,Yes
12447,focal_g3_w4,0.00524406,0.99475598,Yes
12448,focal_g3_w4,0.80433017,0.19566980,No
12449,focal_g3_w4,0.79149753,0.20850249,No
12450,focal_g3_w4,0.01938987,0.98061013,Yes
12451,focal_g3_w4,0.01078375,0.98921621,Yes
12452,focal_g3_w4,0.02676219,0.97323781,Yes
12453,focal_g3_w4,0.00718318,0.99281681,Yes
12454,focal_g3_w4,0.01054911,0.98945087,Yes
12455,focal_g3_w4,0.00801443,0.99198556,Yes
12456,focal_g3_w4,0.31881285,0.68118709,Yes
12457,focal_g3_w4,0.83889234,0.16110769,No
12458,focal_g3_w4,0.02080023,0.97919983,Yes
12459,focal_g3_w4,0.11985960,0.88014042,Yes
12460,focal_g3_w4,0.24133185,0.75866812,Yes
12461,focal_g3_w4,0.02517035,0.97482967,Yes
12462,focal_g3_w4,0.01144645,0.98855352,Yes
12463,focal_g3_w4,0.00776939,0.99223059,Yes
12464,focal_g3_w4,0.02037222,0.97962785,Yes
12465,focal_g3_w4,0.90985405,0.09014592,No
12466,focal_g3_w4,0.95504510,0.04495490,No
12467,focal_g3_w4,0.00378960,0.99621046,Yes
12468,focal_g3_w4,0.03771869,0.96228129,Yes
12469,focal_g3_w4,0.00621004,0.99378997,Yes
12470,focal_g3_w4,0.02324055,0.97675937,Yes
12471,focal_g3_w4,0.07182914,0.92817086,Yes
12472,focal_g3_w4,0.66754049,0.33245951,No
12473,focal_g3_w4,0.02049271,0.97950727,Yes
12474,focal_g3_w4,0.01461733,0.98538268,Yes
12475,focal_g3_w4,0.03542510,0.96457493,Yes
12476,focal_g3_w4,0.00540247,0.99459755,Yes
12477,focal_g3_w4,0.00869945,0.99130052,Yes
12478,focal_g3_w4,0.02072833,0.97927171,Yes
12479,focal_g3_w4,0.00502094,0.99497908,Yes
12480,focal_g3_w4,0.03148164,0.96851838,Yes
12481,focal_g3_w4,0.01482903,0.98517102,Yes
12482,focal_g3_w4,0.97681743,0.02318254,No
12483,focal_g3_w4,0.03172848,0.96827155,Yes
12484,focal_g3_w4,0.00459586,0.99540412,Yes
12485,focal_g3_w4,0.15111257,0.84888744,Yes
12486,focal_g3_w4,0.98346335,0.01653663,No
12487,focal_g3_w4,0.73093289,0.26906711,No
12488,focal_g3_w4,0.05393576,0.94606423,Yes
12489,focal_g3_w4,0.00900657,0.99099344,Yes
12490,focal_g3_w4,0.68002093,0.31997910,No
12491,focal_g3_w4,0.00499190,0.99500811,Yes
12492,focal_g3_w4,0.06774345,0.93225658,Yes
12493,focal_g3_w4,0.00589419,0.99410582,Yes
12494,focal_g3_w4,0.03102503,0.96897495,Yes
12495,focal_g3_w4,0.00516564,0.99483430,Yes
12496,focal_g3_w4,0.00382482,0.99617517,Yes
12497,focal_g3_w4,0.02676631,0.97323370,Yes
12498,focal_g3_w4,0.00548093,0.99451905,Yes
12499,focal_g3_w4,0.00912450,0.99087548,Yes
12500,focal_g3_w4,0.71177554,0.28822446,No
12501,focal_g3_w4,0.00362787,0.99637210,Yes
12502,focal_g3_w4,0.01795486,0.98204511,Yes
12503,focal_g3_w4,0.00882833,0.99117166,Yes
12504,focal_g3_w4,0.02942872,0.97057128,Yes
