id,evidence_status,evidence_status_raw,filter_passed,prediction_source,postprocess_reason
12033,Yes,1,yes,soft_vote,score_no=0.00002105;score_yes=0.99997892;n_members=5
12034,Yes,1,yes,soft_vote,score_no=0.00004746;score_yes=0.99995256;n_members=5
12035,Yes,1,yes,soft_vote,score_no=0.00001665;score_yes=0.99998338;n_members=5
12036,N/A,1,yes,soft_vote,score_no=0.00003632;score_yes=0.99996366;n_members=5
12037,Yes,1,yes,soft_vote,score_no=0.00160655;score_yes=0.99839343;n_members=5
12038,Yes,1,yes,soft_vote,score_no=0.00859010;score_yes=0.99140989;n_members=5
12039,Yes,1,yes,soft_vote,score_no=0.00041560;score_yes=0.99958441;n_members=5
12040,Yes,1,yes,soft_vote,score_no=0.00028855;score_yes=0.99971144;n_members=5
12041,Yes,1,yes,soft_vote,score_no=0.00065211;score_yes=0.99934789;n_members=5
12042,Yes,1,yes,soft_vote,score_no=0.33579901;score_yes=0.66420098;n_members=5
12043,N/A,0,yes,soft_vote,score_no=0.85864923;score_yes=0.14135077;n_members=5
12044,Yes,1,yes,soft_vote,score_no=0.20771985;score_yes=0.79228014;n_members=5
12045,No,0,yes,soft_vote,score_no=0.58313342;score_yes=0.41686661;n_members=5
12046,No,0,yes,soft_vote,score_no=0.99988632;score_yes=0.00011368;n_members=5
12047,Yes,1,yes,soft_vote,score_no=0.00301073;score_yes=0.99698926;n_members=5
12048,Yes,1,yes,soft_vote,score_no=0.00025273;score_yes=0.99974725;n_members=5
12049,Yes,1,yes,soft_vote,score_no=0.00013075;score_yes=0.99986928;n_members=5
12050,Yes,1,yes,soft_vote,score_no=0.00001925;score_yes=0.99998076;n_members=5
12051,Yes,1,yes,soft_vote,score_no=0.00002275;score_yes=0.99997726;n_members=5
12052,N/A,1,yes,soft_vote,score_no=0.00115583;score_yes=0.99884419;n_members=5
12053,Yes,1,yes,soft_vote,score_no=0.00003542;score_yes=0.99996459;n_members=5
12054,N/A,1,yes,soft_vote,score_no=0.00007748;score_yes=0.99992251;n_members=5
12055,Yes,1,yes,soft_vote,score_no=0.00037281;score_yes=0.99962721;n_members=5
12056,Yes,1,yes,soft_vote,score_no=0.00271610;score_yes=0.99728388;n_members=5
12057,N/A,1,yes,soft_vote,score_no=0.02032467;score_yes=0.97967533;n_members=5
12058,Yes,1,yes,soft_vote,score_no=0.00002599;score_yes=0.99997399;n_members=5
12059,N/A,1,yes,soft_vote,score_no=0.02317178;score_yes=0.97682822;n_members=5
12060,Yes,1,yes,soft_vote,score_no=0.00001174;score_yes=0.99998827;n_members=5
12061,Yes,1,yes,soft_vote,score_no=0.00026260;score_yes=0.99973737;n_members=5
12062,Yes,1,yes,soft_vote,score_no=0.00012274;score_yes=0.99987725;n_members=5
12063,N/A,1,yes,soft_vote,score_no=0.10442850;score_yes=0.89557151;n_members=5
12064,Yes,1,yes,soft_vote,score_no=0.00003323;score_yes=0.99996676;n_members=5
12065,Yes,1,yes,soft_vote,score_no=0.00016271;score_yes=0.99983727;n_members=5
12066,N/A,1,yes,soft_vote,score_no=0.00013800;score_yes=0.99986198;n_members=5
12067,Yes,1,yes,soft_vote,score_no=0.00001186;score_yes=0.99998813;n_members=5
12068,Yes,1,yes,soft_vote,score_no=0.09475215;score_yes=0.90524783;n_members=5
12069,No,0,yes,soft_vote,score_no=0.99923396;score_yes=0.00076601;n_members=5
12070,Yes,1,yes,soft_vote,score_no=0.00001294;score_yes=0.99998706;n_members=5
12071,Yes,1,yes,soft_vote,score_no=0.00283547;score_yes=0.99716451;n_members=5
12072,Yes,1,yes,soft_vote,score_no=0.27519855;score_yes=0.72480145;n_members=5
12073,Yes,1,yes,soft_vote,score_no=0.00002970;score_yes=0.99997029;n_members=5
12074,Yes,1,yes,soft_vote,score_no=0.00055679;score_yes=0.99944321;n_members=5
12075,Yes,1,yes,soft_vote,score_no=0.00004610;score_yes=0.99995389;n_members=5
12076,N/A,1,yes,soft_vote,score_no=0.00010703;score_yes=0.99989295;n_members=5
12077,Yes,1,yes,soft_vote,score_no=0.00008825;score_yes=0.99991175;n_members=5
12078,N/A,1,yes,soft_vote,score_no=0.00009200;score_yes=0.99990802;n_members=5
12079,Yes,1,yes,soft_vote,score_no=0.00003516;score_yes=0.99996483;n_members=5
12080,N/A,1,yes,soft_vote,score_no=0.00011404;score_yes=0.99988595;n_members=5
12081,Yes,1,yes,soft_vote,score_no=0.00001980;score_yes=0.99998019;n_members=5
12082,Yes,1,yes,soft_vote,score_no=0.00002529;score_yes=0.99997470;n_members=5
12083,Yes,1,yes,soft_vote,score_no=0.00006186;score_yes=0.99993817;n_members=5
12084,N/A,1,yes,soft_vote,score_no=0.00541946;score_yes=0.99458054;n_members=5
12085,No,0,yes,soft_vote,score_no=0.54586587;score_yes=0.45413413;n_members=5
12086,N/A,1,yes,soft_vote,score_no=0.00004515;score_yes=0.99995487;n_members=5
12087,Yes,1,yes,soft_vote,score_no=0.00005732;score_yes=0.99994266;n_members=5
12088,Yes,1,yes,soft_vote,score_no=0.00086078;score_yes=0.99913925;n_members=5
12089,N/A,1,yes,soft_vote,score_no=0.00524319;score_yes=0.99475678;n_members=5
12090,Yes,1,yes,soft_vote,score_no=0.00482902;score_yes=0.99517099;n_members=5
12091,Yes,1,yes,soft_vote,score_no=0.10033535;score_yes=0.89966465;n_members=5
12092,No,0,yes,soft_vote,score_no=0.77492412;score_yes=0.22507590;n_members=5
12093,No,0,yes,soft_vote,score_no=0.99983313;score_yes=0.00016685;n_members=5
12094,Yes,1,yes,soft_vote,score_no=0.00002590;score_yes=0.99997411;n_members=5
12095,Yes,1,yes,soft_vote,score_no=0.36895206;score_yes=0.63104791;n_members=5
12096,Yes,1,yes,soft_vote,score_no=0.00005923;score_yes=0.99994079;n_members=5
12097,N/A,1,yes,soft_vote,score_no=0.00002894;score_yes=0.99997103;n_members=5
12098,Yes,1,yes,soft_vote,score_no=0.00006736;score_yes=0.99993260;n_members=5
12099,No,0,yes,soft_vote,score_no=0.92914233;score_yes=0.07085765;n_members=5
12100,Yes,1,yes,soft_vote,score_no=0.00022624;score_yes=0.99977373;n_members=5
12101,Yes,1,yes,soft_vote,score_no=0.00040005;score_yes=0.99959997;n_members=5
12102,Yes,1,yes,soft_vote,score_no=0.01688645;score_yes=0.98311352;n_members=5
12103,No,0,yes,soft_vote,score_no=0.99995820;score_yes=0.00004178;n_members=5
12104,Yes,1,yes,soft_vote,score_no=0.00003629;score_yes=0.99996369;n_members=5
12105,Yes,1,yes,soft_vote,score_no=0.00011070;score_yes=0.99988932;n_members=5
12106,Yes,1,yes,soft_vote,score_no=0.00000865;score_yes=0.99999135;n_members=5
12107,Yes,1,yes,soft_vote,score_no=0.40644429;score_yes=0.59355570;n_members=5
12108,Yes,1,yes,soft_vote,score_no=0.00000938;score_yes=0.99999060;n_members=5
12109,Yes,1,yes,soft_vote,score_no=0.00001388;score_yes=0.99998610;n_members=5
12110,N/A,0,yes,soft_vote,score_no=0.99985186;score_yes=0.00014816;n_members=5
12111,N/A,1,yes,soft_vote,score_no=0.00001887;score_yes=0.99998114;n_members=5
12112,Yes,1,yes,soft_vote,score_no=0.00004786;score_yes=0.99995212;n_members=5
12113,Yes,1,yes,soft_vote,score_no=0.00001773;score_yes=0.99998229;n_members=5
12114,Yes,1,yes,soft_vote,score_no=0.00011157;score_yes=0.99988843;n_members=5
12115,Yes,1,yes,soft_vote,score_no=0.25344919;score_yes=0.74655080;n_members=5
12116,No,0,yes,soft_vote,score_no=0.99993610;score_yes=0.00006390;n_members=5
12117,N/A,1,yes,soft_vote,score_no=0.01025407;score_yes=0.98974594;n_members=5
12118,Yes,1,yes,soft_vote,score_no=0.00009404;score_yes=0.99990596;n_members=5
12119,Yes,1,yes,soft_vote,score_no=0.00021793;score_yes=0.99978207;n_members=5
12120,Yes,1,yes,soft_vote,score_no=0.00008332;score_yes=0.99991669;n_members=5
12121,Yes,1,yes,soft_vote,score_no=0.18189283;score_yes=0.81810715;n_members=5
12122,Yes,1,yes,soft_vote,score_no=0.00007961;score_yes=0.99992042;n_members=5
12123,No,0,yes,soft_vote,score_no=0.99985989;score_yes=0.00014012;n_members=5
12124,Yes,1,yes,soft_vote,score_no=0.00001500;score_yes=0.99998503;n_members=5
12125,Yes,1,yes,soft_vote,score_no=0.00005705;score_yes=0.99994292;n_members=5
12126,Yes,1,yes,soft_vote,score_no=0.00015094;score_yes=0.99984906;n_members=5
12127,Yes,1,yes,soft_vote,score_no=0.00003068;score_yes=0.99996934;n_members=5
12128,Yes,1,yes,soft_vote,score_no=0.00062149;score_yes=0.99937851;n_members=5
12129,N/A,1,yes,soft_vote,score_no=0.00314066;score_yes=0.99685935;n_members=5
12130,Yes,1,yes,soft_vote,score_no=0.00021259;score_yes=0.99978742;n_members=5
12131,Yes,1,yes,soft_vote,score_no=0.00005959;score_yes=0.99994042;n_members=5
12132,N/A,1,yes,soft_vote,score_no=0.00035783;score_yes=0.99964221;n_members=5
12133,N/A,0,yes,soft_vote,score_no=0.94533403;score_yes=0.05466596;n_members=5
12134,Yes,1,yes,soft_vote,score_no=0.00000982;score_yes=0.99999018;n_members=5
12135,No,0,yes,soft_vote,score_no=0.55769511;score_yes=0.44230490;n_members=5
12136,Yes,1,yes,soft_vote,score_no=0.01035033;score_yes=0.98964967;n_members=5
12137,N/A,1,yes,soft_vote,score_no=0.00015905;score_yes=0.99984097;n_members=5
12138,Yes,1,yes,soft_vote,score_no=0.00001113;score_yes=0.99998886;n_members=5
12139,Yes,1,yes,soft_vote,score_no=0.00000934;score_yes=0.99999068;n_members=5
12140,No,0,yes,soft_vote,score_no=0.99806953;score_yes=0.00193050;n_members=5
12141,N/A,1,yes,soft_vote,score_no=0.05809374;score_yes=0.94190626;n_members=5
12142,Yes,1,yes,soft_vote,score_no=0.34183742;score_yes=0.65816255;n_members=5
12143,Yes,1,yes,soft_vote,score_no=0.00017178;score_yes=0.99982825;n_members=5
12144,Yes,1,yes,soft_vote,score_no=0.00007734;score_yes=0.99992267;n_members=5
12145,Yes,1,yes,soft_vote,score_no=0.00004924;score_yes=0.99995074;n_members=5
12146,Yes,1,yes,soft_vote,score_no=0.00000822;score_yes=0.99999177;n_members=5
12147,Yes,1,yes,soft_vote,score_no=0.00002685;score_yes=0.99997318;n_members=5
12148,Yes,1,yes,soft_vote,score_no=0.00096657;score_yes=0.99903344;n_members=5
12149,No,0,yes,soft_vote,score_no=0.99997218;score_yes=0.00002779;n_members=5
12150,N/A,1,yes,soft_vote,score_no=0.00039404;score_yes=0.99960594;n_members=5
12151,N/A,1,yes,soft_vote,score_no=0.24199741;score_yes=0.75800259;n_members=5
12152,N/A,1,yes,soft_vote,score_no=0.46590744;score_yes=0.53409256;n_members=5
12153,N/A,1,yes,soft_vote,score_no=0.00007863;score_yes=0.99992135;n_members=5
12154,Yes,1,yes,soft_vote,score_no=0.00299908;score_yes=0.99700091;n_members=5
12155,Yes,1,yes,soft_vote,score_no=0.00331668;score_yes=0.99668331;n_members=5
12156,N/A,0,yes,soft_vote,score_no=0.99763894;score_yes=0.00236105;n_members=5
12157,Yes,1,yes,soft_vote,score_no=0.00007128;score_yes=0.99992873;n_members=5
12158,Yes,1,yes,soft_vote,score_no=0.00023122;score_yes=0.99976880;n_members=5
12159,Yes,1,yes,soft_vote,score_no=0.00011908;score_yes=0.99988089;n_members=5
12160,Yes,1,yes,soft_vote,score_no=0.00827945;score_yes=0.99172055;n_members=5
12161,No,0,yes,soft_vote,score_no=0.91862532;score_yes=0.08137469;n_members=5
12162,Yes,1,yes,soft_vote,score_no=0.00348721;score_yes=0.99651279;n_members=5
12163,N/A,1,yes,soft_vote,score_no=0.00108706;score_yes=0.99891295;n_members=5
12164,Yes,1,yes,soft_vote,score_no=0.00010317;score_yes=0.99989680;n_members=5
12165,Yes,1,yes,soft_vote,score_no=0.00020633;score_yes=0.99979366;n_members=5
12166,Yes,1,yes,soft_vote,score_no=0.00002569;score_yes=0.99997430;n_members=5
12167,Yes,1,yes,soft_vote,score_no=0.00002723;score_yes=0.99997277;n_members=5
12168,Yes,1,yes,soft_vote,score_no=0.00007502;score_yes=0.99992499;n_members=5
12169,Yes,1,yes,soft_vote,score_no=0.00014877;score_yes=0.99985121;n_members=5
12170,Yes,1,yes,soft_vote,score_no=0.00002645;score_yes=0.99997356;n_members=5
12171,Yes,1,yes,soft_vote,score_no=0.00006041;score_yes=0.99993958;n_members=5
12172,No,0,yes,soft_vote,score_no=0.98938917;score_yes=0.01061085;n_members=5
12173,No,0,yes,soft_vote,score_no=0.99987919;score_yes=0.00012080;n_members=5
12174,Yes,1,yes,soft_vote,score_no=0.00015830;score_yes=0.99984168;n_members=5
12175,No,0,yes,soft_vote,score_no=0.99998126;score_yes=0.00001877;n_members=5
12176,Yes,1,yes,soft_vote,score_no=0.00002283;score_yes=0.99997716;n_members=5
12177,Yes,1,yes,soft_vote,score_no=0.00927260;score_yes=0.99072740;n_members=5
12178,No,0,yes,soft_vote,score_no=0.99917427;score_yes=0.00082573;n_members=5
12179,Yes,1,yes,soft_vote,score_no=0.00008488;score_yes=0.99991512;n_members=5
12180,Yes,1,yes,soft_vote,score_no=0.00002972;score_yes=0.99997027;n_members=5
12181,Yes,1,yes,soft_vote,score_no=0.00001502;score_yes=0.99998498;n_members=5
12182,Yes,1,yes,soft_vote,score_no=0.00151295;score_yes=0.99848704;n_members=5
12183,Yes,1,yes,soft_vote,score_no=0.00038429;score_yes=0.99961569;n_members=5
12184,Yes,1,yes,soft_vote,score_no=0.00004995;score_yes=0.99995003;n_members=5
12185,Yes,1,yes,soft_vote,score_no=0.00002227;score_yes=0.99997776;n_members=5
12186,Yes,1,yes,soft_vote,score_no=0.00020172;score_yes=0.99979827;n_members=5
12187,N/A,1,yes,soft_vote,score_no=0.00170449;score_yes=0.99829549;n_members=5
12188,No,0,yes,soft_vote,score_no=0.99173684;score_yes=0.00826318;n_members=5
12189,Yes,1,yes,soft_vote,score_no=0.00002004;score_yes=0.99997995;n_members=5
12190,No,0,yes,soft_vote,score_no=0.99995490;score_yes=0.00004511;n_members=5
12191,Yes,1,yes,soft_vote,score_no=0.06938473;score_yes=0.93061527;n_members=5
12192,Yes,1,yes,soft_vote,score_no=0.00001887;score_yes=0.99998112;n_members=5
12193,Yes,1,yes,soft_vote,score_no=0.00006325;score_yes=0.99993677;n_members=5
12194,No,0,yes,soft_vote,score_no=0.99977344;score_yes=0.00022655;n_members=5
12195,No,0,yes,soft_vote,score_no=0.97594478;score_yes=0.02405525;n_members=5
12196,No,0,yes,soft_vote,score_no=0.99989718;score_yes=0.00010283;n_members=5
12197,Yes,1,yes,soft_vote,score_no=0.00130544;score_yes=0.99869455;n_members=5
12198,Yes,1,yes,soft_vote,score_no=0.00015226;score_yes=0.99984776;n_members=5
12199,Yes,1,yes,soft_vote,score_no=0.00005872;score_yes=0.99994128;n_members=5
12200,Yes,1,yes,soft_vote,score_no=0.00001109;score_yes=0.99998894;n_members=5
12201,Yes,1,yes,soft_vote,score_no=0.00006265;score_yes=0.99993737;n_members=5
12202,Yes,1,yes,soft_vote,score_no=0.00849213;score_yes=0.99150786;n_members=5
12203,Yes,1,yes,soft_vote,score_no=0.00003778;score_yes=0.99996221;n_members=5
12204,Yes,1,yes,soft_vote,score_no=0.00005491;score_yes=0.99994510;n_members=5
12205,Yes,1,yes,soft_vote,score_no=0.09141788;score_yes=0.90858209;n_members=5
12206,Yes,1,yes,soft_vote,score_no=0.00021960;score_yes=0.99978037;n_members=5
12207,No,0,yes,soft_vote,score_no=0.79797914;score_yes=0.20202088;n_members=5
12208,Yes,1,yes,soft_vote,score_no=0.28909863;score_yes=0.71090138;n_members=5
12209,Yes,1,yes,soft_vote,score_no=0.00001487;score_yes=0.99998515;n_members=5
12210,Yes,1,yes,soft_vote,score_no=0.00009178;score_yes=0.99990824;n_members=5
12211,Yes,1,yes,soft_vote,score_no=0.00001195;score_yes=0.99998806;n_members=5
12212,Yes,1,yes,soft_vote,score_no=0.00034509;score_yes=0.99965488;n_members=5
12213,Yes,1,yes,soft_vote,score_no=0.00003982;score_yes=0.99996021;n_members=5
12214,Yes,1,yes,soft_vote,score_no=0.00017596;score_yes=0.99982401;n_members=5
12215,N/A,1,yes,soft_vote,score_no=0.00005156;score_yes=0.99994841;n_members=5
12216,Yes,1,yes,soft_vote,score_no=0.00005448;score_yes=0.99994550;n_members=5
12217,Yes,1,yes,soft_vote,score_no=0.00033474;score_yes=0.99966526;n_members=5
12218,Yes,1,yes,soft_vote,score_no=0.00114786;score_yes=0.99885213;n_members=5
12219,Yes,1,yes,soft_vote,score_no=0.01417172;score_yes=0.98582827;n_members=5
12220,No,0,yes,soft_vote,score_no=0.74322917;score_yes=0.25677085;n_members=5
12221,Yes,1,yes,soft_vote,score_no=0.00045246;score_yes=0.99954750;n_members=5
12222,No,0,yes,soft_vote,score_no=0.99861890;score_yes=0.00138112;n_members=5
12223,Yes,1,yes,soft_vote,score_no=0.00001215;score_yes=0.99998782;n_members=5
12224,N/A,1,yes,soft_vote,score_no=0.00013201;score_yes=0.99986799;n_members=5
12225,Yes,1,yes,soft_vote,score_no=0.00011038;score_yes=0.99988962;n_members=5
12226,N/A,1,yes,soft_vote,score_no=0.24484447;score_yes=0.75515554;n_members=5
12227,No,0,yes,soft_vote,score_no=0.99132838;score_yes=0.00867165;n_members=5
12228,Yes,1,yes,soft_vote,score_no=0.00001203;score_yes=0.99998794;n_members=5
12229,Yes,1,yes,soft_vote,score_no=0.00007836;score_yes=0.99992164;n_members=5
12230,N/A,1,yes,soft_vote,score_no=0.33210843;score_yes=0.66789156;n_members=5
12231,Yes,1,yes,soft_vote,score_no=0.00003789;score_yes=0.99996209;n_members=5
12232,Yes,1,yes,soft_vote,score_no=0.00282114;score_yes=0.99717888;n_members=5
12233,Yes,1,yes,soft_vote,score_no=0.00001175;score_yes=0.99998825;n_members=5
12234,Yes,1,yes,soft_vote,score_no=0.00008582;score_yes=0.99991416;n_members=5
12235,Yes,1,yes,soft_vote,score_no=0.00004730;score_yes=0.99995270;n_members=5
12236,Yes,1,yes,soft_vote,score_no=0.00044889;score_yes=0.99955112;n_members=5
12237,Yes,1,yes,soft_vote,score_no=0.00040374;score_yes=0.99959626;n_members=5
12238,Yes,1,yes,soft_vote,score_no=0.00004478;score_yes=0.99995523;n_members=5
12239,Yes,1,yes,soft_vote,score_no=0.00036561;score_yes=0.99963441;n_members=5
12240,Yes,1,yes,soft_vote,score_no=0.00010994;score_yes=0.99989005;n_members=5
12241,Yes,1,yes,soft_vote,score_no=0.00002108;score_yes=0.99997892;n_members=5
12242,Yes,1,yes,soft_vote,score_no=0.00017848;score_yes=0.99982153;n_members=5
12243,Yes,1,yes,soft_vote,score_no=0.00003148;score_yes=0.99996850;n_members=5
12244,No,0,yes,soft_vote,score_no=0.89876761;score_yes=0.10123236;n_members=5
12245,Yes,1,yes,soft_vote,score_no=0.00001615;score_yes=0.99998383;n_members=5
12246,Yes,1,yes,soft_vote,score_no=0.00001833;score_yes=0.99998169;n_members=5
12247,No,0,yes,soft_vote,score_no=0.99995067;score_yes=0.00004932;n_members=5
12248,N/A,1,yes,soft_vote,score_no=0.00003057;score_yes=0.99996941;n_members=5
12249,Yes,1,yes,soft_vote,score_no=0.00000990;score_yes=0.99999008;n_members=5
12250,No,0,yes,soft_vote,score_no=0.99959860;score_yes=0.00040137;n_members=5
12251,Yes,1,yes,soft_vote,score_no=0.00001014;score_yes=0.99998984;n_members=5
12252,Yes,1,yes,soft_vote,score_no=0.06636149;score_yes=0.93363851;n_members=5
12253,Yes,1,yes,soft_vote,score_no=0.00004595;score_yes=0.99995404;n_members=5
12254,Yes,1,yes,soft_vote,score_no=0.39714849;score_yes=0.60285151;n_members=5
12255,Yes,1,yes,soft_vote,score_no=0.00020019;score_yes=0.99979981;n_members=5
12256,Yes,1,yes,soft_vote,score_no=0.00044101;score_yes=0.99955899;n_members=5
12257,Yes,1,yes,soft_vote,score_no=0.00001420;score_yes=0.99998581;n_members=5
12258,Yes,1,yes,soft_vote,score_no=0.00001284;score_yes=0.99998715;n_members=5
12259,Yes,1,yes,soft_vote,score_no=0.00004875;score_yes=0.99995124;n_members=5
12260,N/A,1,yes,soft_vote,score_no=0.00276059;score_yes=0.99723941;n_members=5
12261,Yes,1,yes,soft_vote,score_no=0.00029489;score_yes=0.99970509;n_members=5
12262,Yes,1,yes,soft_vote,score_no=0.00073713;score_yes=0.99926285;n_members=5
12263,N/A,1,yes,soft_vote,score_no=0.00010966;score_yes=0.99989037;n_members=5
12264,N/A,1,yes,soft_vote,score_no=0.00229762;score_yes=0.99770237;n_members=5
12265,Yes,1,yes,soft_vote,score_no=0.00001258;score_yes=0.99998741;n_members=5
12266,Yes,1,yes,soft_vote,score_no=0.00988876;score_yes=0.99011125;n_members=5
12267,No,0,yes,soft_vote,score_no=0.80562813;score_yes=0.19437186;n_members=5
12268,Yes,1,yes,soft_vote,score_no=0.00006903;score_yes=0.99993098;n_members=5
12269,N/A,1,yes,soft_vote,score_no=0.00015634;score_yes=0.99984369;n_members=5
12270,Yes,1,yes,soft_vote,score_no=0.00001131;score_yes=0.99998868;n_members=5
12271,N/A,1,yes,soft_vote,score_no=0.00032716;score_yes=0.99967283;n_members=5
12272,Yes,1,yes,soft_vote,score_no=0.11600199;score_yes=0.88399801;n_members=5
12273,Yes,1,yes,soft_vote,score_no=0.00001743;score_yes=0.99998257;n_members=5
12274,Yes,1,yes,soft_vote,score_no=0.00002734;score_yes=0.99997267;n_members=5
12275,Yes,1,yes,soft_vote,score_no=0.00012742;score_yes=0.99987258;n_members=5
12276,Yes,1,yes,soft_vote,score_no=0.00003496;score_yes=0.99996505;n_members=5
12277,No,0,yes,soft_vote,score_no=0.99985981;score_yes=0.00014018;n_members=5
12278,Yes,1,yes,soft_vote,score_no=0.00004115;score_yes=0.99995883;n_members=5
12279,No,0,yes,soft_vote,score_no=0.99843130;score_yes=0.00156872;n_members=5
12280,Yes,1,yes,soft_vote,score_no=0.00002539;score_yes=0.99997461;n_members=5
12281,Yes,1,yes,soft_vote,score_no=0.43098185;score_yes=0.56901817;n_members=5
12282,No,0,yes,soft_vote,score_no=0.99997830;score_yes=0.00002167;n_members=5
12283,Yes,1,yes,soft_vote,score_no=0.00002573;score_yes=0.99997423;n_members=5
12284,Yes,1,yes,soft_vote,score_no=0.00001851;score_yes=0.99998150;n_members=5
12285,Yes,1,yes,soft_vote,score_no=0.00000980;score_yes=0.99999020;n_members=5
12286,Yes,1,yes,soft_vote,score_no=0.00003120;score_yes=0.99996879;n_members=5
12287,No,0,yes,soft_vote,score_no=0.54331490;score_yes=0.45668510;n_members=5
12288,Yes,1,yes,soft_vote,score_no=0.01923248;score_yes=0.98076752;n_members=5
12289,N/A,1,yes,soft_vote,score_no=0.00052313;score_yes=0.99947685;n_members=5
12290,Yes,1,yes,soft_vote,score_no=0.00002025;score_yes=0.99997976;n_members=5
12291,N/A,1,yes,soft_vote,score_no=0.02109619;score_yes=0.97890381;n_members=5
12292,Yes,1,yes,soft_vote,score_no=0.00005054;score_yes=0.99994946;n_members=5
12293,Yes,1,yes,soft_vote,score_no=0.23154422;score_yes=0.76845579;n_members=5
12294,Yes,1,yes,soft_vote,score_no=0.00000853;score_yes=0.99999146;n_members=5
12295,Yes,1,yes,soft_vote,score_no=0.00001159;score_yes=0.99998841;n_members=5
12296,Yes,1,yes,soft_vote,score_no=0.00001288;score_yes=0.99998710;n_members=5
12297,Yes,1,yes,soft_vote,score_no=0.00001047;score_yes=0.99998953;n_members=5
12298,No,0,yes,soft_vote,score_no=0.99890424;score_yes=0.00109579;n_members=5
12299,No,0,yes,soft_vote,score_no=0.99996643;score_yes=0.00003356;n_members=5
12300,Yes,1,yes,soft_vote,score_no=0.00086712;score_yes=0.99913290;n_members=5
12301,No,0,yes,soft_vote,score_no=0.59884917;score_yes=0.40115085;n_members=5
12302,N/A,1,yes,soft_vote,score_no=0.00052146;score_yes=0.99947853;n_members=5
12303,Yes,1,yes,soft_vote,score_no=0.00011072;score_yes=0.99988928;n_members=5
12304,Yes,1,yes,soft_vote,score_no=0.00001985;score_yes=0.99998014;n_members=5
12305,Yes,1,yes,soft_vote,score_no=0.00066089;score_yes=0.99933912;n_members=5
12306,Yes,1,yes,soft_vote,score_no=0.00732640;score_yes=0.99267361;n_members=5
12307,Yes,1,yes,soft_vote,score_no=0.00053472;score_yes=0.99946526;n_members=5
12308,Yes,1,yes,soft_vote,score_no=0.00001428;score_yes=0.99998572;n_members=5
12309,Yes,1,yes,soft_vote,score_no=0.20636997;score_yes=0.79363005;n_members=5
12310,Yes,1,yes,soft_vote,score_no=0.00007819;score_yes=0.99992181;n_members=5
12311,N/A,1,yes,soft_vote,score_no=0.00008584;score_yes=0.99991415;n_members=5
